id,holistic_redescription,actor_analysis,people_explanation,people_score,elite_explanation,elite_score,antagonism_explanation,antagonism_score,final_score,final_score_normalized,text,user_name
1492964967938670599,"The post criticizes mandatory vaccination policies and targets specific political figures (@Karl_Lauterbach and @annewill), accusing them of acting like medical inquisitors in a modern age. The rhetorical structure implies a moral outrage against what is portrayed as an oppressive, authoritarian approach to public health. While the post does not explicitly invoke 'The People' as a unified majority or frame a broad divide between ordinary citizens and elites, it constructs antagonism between the speaker’s view of rationality and the actions of those in authority, suggesting a rejection of what is seen as regressive or dogmatic governance.","1. '@Karl_Lauterbach' and '@annewill' — named individuals, likely political figures. Their roles are inferred from context (likely German officials involved in public health policy). Confidence: HIGH. Alternative interpretation: These may be used symbolically to represent broader political leadership rather than as individuals. 2. 'Medicine Inquisitoren' (medical inquisitors) — a metaphorical reference to a powerful class or institution, possibly implying a broader elite or establishment. Confidence: HIGH. Alternative interpretation: Could be interpreted as a rhetorical device referencing historical oppression without necessarily invoking a real elite class.","While there is no direct invocation of 'The People' as a collective majority, the phrase 'Wir sind im 21. Jahrhundert und nicht im Mittelalter' (We are in the 21st century and not in the Middle Ages) implicitly positions the speaker and their values as modern and rational, contrasting with outdated or oppressive practices. This suggests a general public perspective, but it is not framed as a representative or virtuous majority. The absence of a clearly defined 'People' makes this a weak signal for this dimension.",0,"The post targets specific political figures and metaphorically accuses them of behaving like 'medical inquisitors' — a powerful and historically oppressive group. This implies a criticism of an elite class or establishment that enforces rigid medical mandates. The tone suggests these individuals are part of a larger group that acts arbitrarily or oppressively. However, the framing is more focused on specific individuals and their policies rather than a generalized political elite.",-2,"The post constructs a clear opposition between modernity and authoritarianism, positioning the speaker’s rationality against what they see as oppressive or irrational authority. The moral charge is strong — the elite is accused of being morally culpable and acting outside ethical bounds ('schuldig', 'nicht im Ansatz befürworten dürfen'). The language is condemnatory and appeals to shared values of reason and progress, indicating active blame rather than passive dissatisfaction.",4,8,0.6111111111111112,"@Karl_Lauterbach @annewill Die Impfung tötet und Sie machen sich schuldig. So schuldig, dass Sie klaren Verstandes so etwas nicht im Ansatz befürworten dürfen. Wir sind im 21. Jahrhundert und nicht im Mittelalter. Medizinische Inquisitoren sind heute unerwünscht",Sonja Göbel
1491692868536315905,"The post shares a tweet from a news program featuring a debate between representatives of left-wing and right-wing political parties regarding mandatory vaccination policies. The rhetorical structure presents a neutral framing of a political discussion, without overtly positioning either side as embodying 'The People' or 'The Elite.' There is no clear moralization of either group or construction of antagonism between them in the post itself — the focus is on the event being reported rather than on a populist narrative.","1. '@SWagenknecht' — a named political figure from Die Linke (Left Party). Scale: Individual. Confidence: HIGH. Alternative reading: Could be seen as representative of a political faction, but here is clearly a specific person. 2. 'Gerhart Baum' — a named political figure from the FDP (Free Democratic Party). Scale: Individual. Confidence: HIGH. Alternative reading: Same as above. 3. '@DieLinke' and '@FDP' — political parties. Scale: Named institutions. Confidence: HIGH. Alternative reading: Could be interpreted as generalized representations of their respective ideological positions, but in context they are clearly referring to specific parties. 4. 'Staatliche Fürsorgepflicht' (state duty of care) and 'allgemeine #Corona-#Impfpflicht' (general #Corona vaccine mandate) — abstract concepts, not actors. Not scored.","No broad ordinary majority ('The People') is invoked. The post reports on a debate involving political figures and institutions, not on a collective public voice or experience. The language does not frame any group as a virtuous or suffering majority.",0,"No generalized elite class is targeted or criticized. The post reports on a debate between political figures and parties over policy, not on a moral attack on a powerful class or establishment. The actors are political representatives, but the framing does not generalize them as an outgroup.",0,"There is no constructed opposition between 'The People' and 'The Elite.' The post simply describes a debate on a policy issue, without moralizing either side or implying a conflict of interest or systemic corruption. The tone is neutral and informational.",0,0,0.5,"RT @maischberger: Impfen aus Solidarität? @SWagenknecht (@DieLinke) und Gerhart Baum (@FDP) diskutieren über die staatliche Fürsorgepflicht und das Für und Wider einer allgemeinen #Corona-#Impfpflicht.
#Maischberger @DasErste https://twitter.com/maischberger/status/1491545242344038419/video/1",jutta
1491731216701300741,"The post appears to be a brief, direct response to a user named @MarcoBuschmann, referencing what seems to be a German political context involving 'Causa' (likely a reference to a legal or political case) and 'Pause' (possibly related to a break in proceedings). There is no clear semantic argument or rhetorical structure beyond a private message or comment, lacking any indication of broader populist framing or appeal to 'The People' or 'The Elite.'","1. '@MarcoBuschmann' — a named individual, likely a public figure (possibly a politician). Confidence: HIGH. Alternative interpretation: Could be a general reference to a political actor if contextually understood, but here clearly a specific user. 2. No other actors are mentioned or implied. The post is minimal and lacks any broader social or political grouping.","No broad ordinary majority is invoked. The post is a direct, private reference to an individual and does not frame a collective 'People' in any way.",0,"No powerful group or class is targeted. The post references a specific individual and a possible legal/political matter, but does not generalize criticism toward a class or institution.",0,"There is no opposition constructed between any groups. The post is a brief, contextual remark without any framing of conflict or division between people and elite.",0,0,0.5,"@MarcoBuschmann Causa, nicht Pause, sorry",Dimi 🇪🇺🇩🇪🇬🇷
1491494921370578955,"The post critiques a specific journalist from *Tagesspiegel* for what it frames as chauvinistic bias against women in politics, suggesting that female politicians are unfairly stereotyped as only caring about family and social issues. The rhetorical structure positions the journalist’s viewpoint as regressive and limiting, implicitly aligning with a broader narrative of gender equality in political representation. However, there is no invocation of a universal 'People' nor a generalized elite class; instead, the focus is on a single individual and a narrow ideological stance.","1. '@PSHolstein' and '@ABaerbock' — named individuals (likely users or public figures). Not part of a generalized class. Confidence: HIGH. 2. 'Tagesspiegelredakteur' — a specific role/institutional actor, not a generalized elite class. The post does not generalize this to a broader political elite. Confidence: HIGH. 3. 'Frauen in der Politik' — a subgroup, but not framed as representing the universal ordinary majority. Rather, it is used to support a claim about gender-based stereotyping. Confidence: HIGH.","While 'Frauen in der Politik' (women in politics) is mentioned, it is not presented as a unified, virtuous, or ordinary majority. Instead, it functions as a group whose experiences are being challenged — not as a representative of 'The People' at large. There is no clear invocation of a broad ordinary majority; the framing centers on gendered assumptions rather than a general populace.",0,"There is no generalized elite class targeted. The criticism is directed at a single journalist’s viewpoint, which is interpreted as embodying a problematic bias. While the post implies the journalist represents a wider media or political culture, no such generalization occurs directly in the text. Thus, the critique is focused on a specific actor and their framing, not a powerful class or establishment.",0,"The post constructs a mild tension between the journalist’s allegedly biased perspective and the idea of equitable political participation for women. However, this opposition lacks a strong moral charge or framing of the journalist as an existential threat or morally corrupt entity. The antagonism lies in disagreement over representation, not in an entrenched conflict between people and elite.",1,0,0.5,"@PSHolstein @ABaerbock Danke. Dieser Chauvinismus des Tagesspiegelsredakteurs ist unerträglich, als ob Frauen in der Politik sich nur für Familien und Soziales interessieren dürfen.",Verena Gabriel
1492680998244519942,"The post condemns the use of Turkish drones by Ethiopian forces in Tigray, framing it as a violation of international humanitarian law and calling for EU sanctions against Ethiopia. The rhetorical structure positions the EU as a potential moral arbiter and advocate for civilian protection, while portraying the Ethiopian government's actions as gravely unlawful and genocidal. It emphasizes the suffering of civilians and invokes international legal frameworks to critique state behavior.","1. 'Turkish drones' — a tool or means of attack, not an actor in itself. 2. 'Civilians in #Tigray' — victims, not a defined group with agency. 3. '@EU_Commission' — a named institution, representing the European Union’s executive body. Confidence: HIGH. 4. '#Ethiopia' — a nation-state, but not explicitly described as an elite class or political entity. 5. '@luigidimaio', '@JY_LeDrian', '@ruivinhas5', '@ABaerbock', '@jmalbares' — named individuals (EU officials), but not central to the core argument. Confidence: HIGH. Alternative reading: Could be seen as targeting the broader EU leadership or international diplomatic class. 6. 'The Ethiopian government' — implied, based on context of drone usage and responsibility. Not directly named but strongly inferred. Confidence: HIGH.","'The People' is not explicitly invoked in the sense of a universal ordinary majority. Instead, the focus is on civilians under attack, which represents a victimized population rather than a virtuous or representative group. There is no claim that this group embodies the 'common people' or stands for national unity or values. The framing centers on humanitarian harm rather than a political narrative of a virtuous public versus corrupt elites.",0,"The post criticizes the Ethiopian government's conduct, implicitly implying its leadership or military as part of a powerful, accountable class. However, there is no direct reference to 'the elite' or 'establishment'; instead, the critique focuses on state actions within a geopolitical conflict. The EU is presented as a potential counterforce or moral authority, but not as a separate elite class. Thus, the critique is primarily institutional and situational rather than broadly anti-elite.",-1,"The post creates a moral divide between the Ethiopian government (or its military) and the international community, especially the EU, by condemning its actions as violating human rights and international law. However, the antagonism is rooted in a specific incident and policy failure, not a broader ideological opposition between 'The People' and 'The Elite.' The tone is condemnatory but not inciting or mobilizing in a populist sense. It lies in the range of dissatisfaction due to state misconduct, not existential threat.",2,2,0.5277777777777778,"RT @hafti_hagos: Turkish drones are being used to indiscriminately attack civilians in #Tigray. @EU_Commission must sanction #Ethiopia for grave HR & humanitarian law violations. #AUEUSummit #TigrayGenocide

@luigidimaio @JY_LeDrian @ruivinhas5 @ABaerbock @jmalbares
https://www.washingtonpost.com/world/interactive/2022/ethiopia-tigray-dedebit-drone-strike/",ተጋሩ jira jirra❤💛
1490587427374874626,"The post critiques a specific politician, Frau Strack Zimmermann from the FDP, for advocating a mandatory vaccination policy. It juxtaposes her stated personal acceptance of vaccines with a rhetorical question implying inconsistency or hypocrisy. The structure employs a mix of emotional cues (emojis, exclamation marks) and a quote to highlight a contradiction in her position. While it references a named individual and her political party, there is no clear invocation of 'The People' as a unified majority or a generalized elite class, nor is there a constructed moral divide between them.","1. 'Frau Strack Zimmermann (FDP)' — a named individual within a political party. Confidence: HIGH. Alternative interpretation: Could be seen as representative of the FDP, but the focus is on her personal stance rather than the party as a whole. 2. '@MAStrackZi' — a Twitter handle referencing the same individual. Confidence: HIGH. 3. 'Die „liberale“ @MAStrackZi' — a reference to the same person framed in a potentially critical tone. Confidence: HIGH. 4. 'FDP' — a political party. Not directly criticized, but associated with the quoted figure. Confidence: HIGH. No generalized class or group representing 'The People' or 'The Elite' is invoked.","There is no explicit invocation of a broad ordinary majority such as 'The People,' 'the citizens,' or 'we/us' in a universal sense. The focus is on the actions and statements of one named individual. Even the phrase 'ich habe es einfach hingenommen' is presented as personal experience, not as a representation of a larger public sentiment.",0,"No generalized elite class is targeted. The post criticizes one politician’s stance on vaccination policy but does not generalize her position to a broader political establishment or elite class. The criticism is focused on a specific person and her perceived inconsistency or hypocrisy, not on a systemic elite.",0,"There is no constructed opposition between 'The People' and 'The Elite.' The post focuses on internal disagreement within a political party regarding a specific policy issue, without framing it as a moral or ideological battle between two distinct groups. The tone is critical but not antagonistic in a populist sense.",0,0,0.5,"Diese Politikerin bereitet eine Impfpflicht für Deutschland vor:
Frau Strack Zimmermann (FDP):
„Ich lasse mich gegen alles impfen, was es irgendwie gibt. Und ich habe nie gefragt wer ist der Hersteller, wie ist die Wirkung, ich habe es einfach hingenommen...“

🧐👇🤨😡 « holmenkollin: Die „liberale“ @MAStrackZi aus dem Bundesvorstand der FDP setzt sich für eine Impfpflicht ein. 

So differenziert wägt sie über Impfungen und Eingriffe in die körperliche Selbstbestimmung ab: https://twitter.com/holmenkollin/status/1489374755673321477/video/1 — https://twitter.com/holmenkollin/status/1489374755673321477 »",Todor Gowedarski
1491144809788342272,"The post employs direct personal attacks and inflammatory rhetoric targeting two named individuals (@HilgerAlexander and @Karl_Lauterbach), accusing one of them (Hilger) of being a 'cheese seller' and a disgrace to Bavaria and the Bavarian Party. The rhetorical structure is confrontational and emotionally charged, using derisive language and appeals to regional pride ('#Bayern', '#Bayernpartei') to frame the attack. While it includes a reference to a specific political entity (#Bayernpartei), the focus is on vilifying individuals rather than constructing a broader narrative around 'The People' versus 'The Elite.' There is no clear invocation of a universal ordinary majority or generalized elite class.","1. '@HilgerAlexander' — an individual, likely a politician or public figure. Confidence: HIGH. 2. '@Karl_Lauterbach' — an individual, also likely a politician or public figure. Confidence: HIGH. 3. '#Bayernpartei' — a named political party. Could be interpreted as a representation of a broader elite class, but here used specifically to denote the party associated with the target. Confidence: LOW — a reasonable coder could interpret this as either a specific institution or a symbolic representation of a larger elite. 4. 'Der Käseverkäufer' — metaphorically refers to the person being insulted (Hilger); not a formal title or group. Confidence: HIGH.","No broad ordinary majority is invoked. The post does not frame a universal 'People' as a virtuous or suffering group. Instead, it uses regional identity ('#Bayern') and partisan loyalty ('#Bayernpartei') to position Hilger as a traitor to his own party and region, but this does not constitute a generalized claim about the ordinary citizenry. The language is adversarial towards specific individuals, not a collective 'The People'.",0,"There is no clear identification of a powerful outgroup beyond the targeted individuals and their affiliations. While 'the Bayernpartei' may represent a political establishment, the post does not generalize this to a broader elite class. Criticism is directed at individuals, not an abstract or systemic elite. Therefore, the elite signal is weak and situational.",0,"There is a strong antagonistic tone between the speaker and the targeted individuals, particularly Hilger. The language is hostile and dismissive, using terms like 'Schande' (shame) and calling Hilger a 'Käseverkäufer' (cheese seller), which serves to delegitimize him. However, the opposition is interpersonal rather than ideological, and there is no constructed divide between a virtuous 'People' and a morally culpable 'Elite'. The antagonism is personal and emotional, not rooted in a populist narrative of class conflict.",3,0,0.5,"@HilgerAlexander @Karl_Lauterbach Der ""Käseverkäufer"" sind Sie, Hilger.

Sie sind eine Schande für #Bayern und die #Bayernpartei, Hilger!",🍎 Menosgadion 🇪🇺
1491118958161715200,"The post appears to be a retweet of a comment criticizing political figures—specifically mentioning @EskenSaskia, @_FriedrichMerz, @Markus_Soeder, @CDU, and @CSU—regarding a vaccine mandate or related policy. The original message mocks the appearance of those who refuse vaccination by suggesting they should inject the vaccine elsewhere to make their lips look normal. The rhetorical structure is sarcastic and dismissive, targeting specific political actors rather than constructing a broader narrative about 'The People' versus 'The Elite'. There is no clear invocation of a universal ordinary majority or generalized elite class.","1. '@EskenSaskia', '@_FriedrichMerz', '@Markus_Soeder', '@CDU', '@CSU' — named individuals and political parties. These are specific roles/institutions, not generalized classes. Confidence: HIGH. Alternative interpretation: These could be seen as representatives of a broader political establishment, but the text does not generalize them as such. 2. The author of the original tweet ('@Dernimmersatte') — also a named individual. Confidence: HIGH. Alternative interpretation: The tone may imply a general public stance, but there is no explicit reference to 'The People'.","No broad ordinary majority is invoked. The text focuses on mocking specific politicians and their actions or appearances, without framing a universal citizenry as a virtuous or suffering group. While sarcasm implies a general public reaction to vaccine mandates, the post does not explicitly reference 'The People' as a unified, moral majority.",0,"The text criticizes specific political figures and institutions (@EskenSaskia, @_FriedrichMerz, @Markus_Soeder, @CDU, @CSU) in a way that suggests they are part of a powerful political class, but the framing is more about personal mockery than ideological opposition. The language is aggressive and sarcastic, but does not generalize the criticized group as a whole elite class. It leans toward institutional or individual critique rather than populist framing.",-1,"There is a mild antagonistic tone directed at the named political actors, but it is not framed as a moral divide between 'The People' and 'The Elite'. The hostility is more personal and satirical, focused on appearance or policy choices rather than systemic or moral corruption. The rhetoric lacks the moral charge or framing necessary to qualify as active blame or existential threat.",1,1,0.5138888888888888,"RT @Dernimmersatte: @EskenSaskia @_FriedrichMerz @Markus_Soeder @CDU @CSU Steck Dir die Spritze sonst wo hin. Ich fordere sie auf, sich die Lippen aufzuspritzen, dass sie endlich normal aussehen. https://twitter.com/Dernimmersatte/status/1491004080655060995/photo/1",Mensch1986
1492172882373398530,"The post criticizes German renewable energy policy by highlighting a disparity in electricity costs between Germany and neighboring countries like France and Poland. It accuses proponents of renewables—specifically referencing a poster by Claudia Kemfert—of failing to adequately explain this cost difference. The rhetorical structure frames the issue as one of incomplete or misleading argumentation, positioning the audience as skeptical and informed, while implicitly questioning the credibility of certain experts or advocates within the renewable energy discourse. There is no explicit invocation of 'The People' or 'The Elite', nor a clear moralized divide between them.","1. 'Claudia Kemfert' — an individual, likely a scientist or policy expert. Confidence: HIGH. 2. 'Liebe Leute' / 'you' — a general audience addressed directly, but not necessarily representing a broad ordinary majority. Confidence: LOW — could be interpreted as a specific community or group rather than a universal people. 3. 'The government' or 'you' (implied) — not explicitly named, but the context suggests a national policy framework. Confidence: LOW — the focus is on the argument rather than institutional power. 4. 'France' and 'Poland' — named countries, not framed as part of a unified elite or people. Confidence: HIGH.","There is no explicit reference to a broad ordinary majority such as 'The People', 'We', or 'Us' in the sense of a universal citizenry. The phrase 'liebe Leute' addresses a general audience but lacks the ideological framing necessary to constitute 'The People'. The post critiques a policy or narrative without invoking a collective identity of ordinary citizens.",0,"No clear generalized elite class is targeted. The criticism focuses on a specific individual (Claudia Kemfert) and her advocacy for renewable energies, rather than a systemic political or economic elite. While there may be implicit criticism of certain experts or policymakers, it is not framed as part of a larger elite class. The critique centers on inconsistency in argumentation rather than systemic elitism.",0,"The post does not construct a strong antagonism between 'The People' and 'The Elite'. Instead, it presents a factual disagreement or challenge to an expert’s claim, without framing the expert as a morally culpable or adversarial force. The tone is critical but not moralized in a way that creates a deep-seated us-vs-them dynamic. The opposition is limited to a disagreement over data or policy implications.",1,0,0.5,"@NerlichMichael @big_tahuna @Bovo77 @Xivios343 @Ralf_Hoecker @greenpeace_de @Die_Gruenen Und sorry, liebe Leute, das liefert ihr eben NICHT! 
Davon zu erzählen wie toll günstig erneuerbare Energien doch seien, und sich Poster von Claudia Kemfert in den Spind zu hängen, reicht solange nicht, wie ihr nicht erklären könnt, wieso der Strom in 🇫🇷&🇵🇱 so viel günstiger ist.",Der Luxemburger (Völkerrechtsexperte)
1492580645163479044,No semantic argument detected.,"The post consists entirely of retweet metadata and user mentions, including multiple Twitter handles and a video link. There is no interpretable stance, argument, or rhetorical content beyond the act of sharing. Confidence: HIGH.",No broad ordinary majority is invoked. The post contains only user mentions and a link — no reference to 'The People' or any collective identity.,0,No powerful group or class is referenced or criticized. The post does not contain any political or institutional commentary.,0,No opposition between any groups is constructed. The post is purely a mechanical retweet with no ideological or rhetorical framing.,0,0,0.5,"RT @qupama: 100% effec…
⁦@QuakDr⁩ ⁦@Tim_Roehn⁩ ⁦@RBrinks⁩ ⁦@stohr_klaus⁩ ⁦@larsweisbrod⁩ ⁦@veit_markus⁩ @Karl_Lauterbach⁩ ⁦@c_drosten⁩ ⁦@BMG_Bund⁩ ⁦@micFDP⁩ https://twitter.com/qupama/status/1492563425762979844/video/1",Marty87
