id,text
446633,"Ihre willkürliche Zusammenstellung und Auflistung alter Forderungen zeigt, dass Sie nicht willens sind, einen verantwortlichen und gesellschaftlich akzeptierbaren Beitrag zum Tierschutz in Deutschland zu leisten, sondern dass Sie Emotionen schüren wollen."
119028,"Einen ganz herzlichen Dank an diese Kolleginnen und Kollegen, an die Mitarbeiter des Ausschusses und alle Bürgerinnen und Bürger, die sich aktiv für unser Gemeinwohl einsetzen."
1112782,Im 70. Jahr unserer freiheitlichen Demokratie und 30 Jahre nach der friedlichen Revolution in der ehemaligen DDR ist unser Platz heute auf der Seite der Bürgerinnen und Bürger Venezuelas.
1066345,"Sie führen die Leute hinter die Fichte, und Sie nehmen die Probleme offensichtlich nicht ernst."
1229841,"Der deutsche Wald stirbt, und auch die Landwirtschaft ächzt unter Hitze und Wassermangel."
1210701,Dieser Haushalt ist so wenig visionär.
762559,Die Marktwächter - so wissen Sie - sollen ja der Politik aussagekräftige Erkenntnisse zur tatsächlichen Lage der Konsumenten am Finanzmarkt und im Bereich digitale Welt weitergeben und strukturelle Fehlentwicklungen sowie Missstände an die zuständigen Behörden melden.
318156,Sie bitten wieder die Normalbürger zur Kasse und schonen die fetten Konten.
53262,Zuschauer auf den Tribünen und an den Fernsehbildschirmen!
1208761,"Wir kriegen das nicht hin, wenn nur wir in Deutschland dafür unsere Industrie schreddern."
757810,"Ich glaube, wer dies nicht schätzt, geht zynisch mit den Belangen der Menschen um."
462809,"Wer sich einmal in einem Großbetrieb umguckt, wird bemerken, dass sich jede Abteilung am allerliebsten auf ihre eigene EDV beruft und um Gottes willen nicht das machen will, was alle anderen machen."
1169330,"Das ist nicht viel mehr, als wir an deutschen Finanzen in das Welternährungsprogramm stecken."
95763,Bei Ihrer Forderung nach umweltfreundlichen Neubauten von Schiffen bin ich als Rostocker Abgeordneter im Interesse aller Werftstandorte vollkommen bei Ihnen.
433760,Mit unserer Verbraucherpolitik schauen wir aber wirklich über den Tellerrand Deutschlands und auch Europas hinweg.
545475,"Wir als Abgeordnete müssen durch unser Handeln sowohl hier im Hohen Hause als auch in den Wahlkreisen deutlich machen, dass wir unsere Aufgabe sehr ernst nehmen, dass wir alle Interessen aufnehmen und abwägen."
10190,"Die Altersarmut zu bekämpfen und für mehr sozialen Zusammenhalt zu sorgen, ist eine der wichtigsten und dringendsten Aufgaben in unserer demokratischen Gesellschaft."
131924,"Die Landwirte sind gesetzlich verpflichtet, ihre Höfe einzuzäunen."
740944,"Um diese Bedeutung und Wirkung weiter zu erhöhen und den Bürgerinnen und Bürgern die Chance auf demokratische Teilhabe zu eröffnen, bitte ich Sie, auch in Ihren Wahlkreisen für Petitionen beim Deutschen Bundestag zu werben."
1225113,"Dass wir als Koalition handeln und die Pflege auf dem Radar haben, zeigen wir nicht nur heute."
1221420,"Stimmen Sie nachher mit uns für den Erhalt dieser wichtigen, unabhängigen Behörde!"
448692,"Man muss sich auf der Zunge zergehen lassen, was dieser Verkehrsminister anrichtet."
821581,Ländliche Räume leisten einen unverzichtbaren Beitrag zur gesamtwirtschaftlichen Entwicklung Deutschlands.
1084296,"Dass man nun zwei Haushalte in fast einem halben Jahr beraten und auch verabschieden darf, werden hoffentlich die meisten von uns in ihrer politischen Karriere nicht allzu oft erleben."
1231966,"Dieses Berlin war schon vor 100 Jahren ein besonderes Pflaster, etwas unruhig, mit der einen oder anderen politischen Mine versehen und durchaus widersprüchlich."
78658,Und der Steuerzahler – und das ist die Idiotie an der ganzen Sache – subventioniert diese neue Form der Sklaverei auch noch mit Sozialleistungen.
407791,Diesen Menschen müssen wir ein besseres Angebot machen.
365758,Ich fordere die Bundesregierung zu mutigen Schritten und Entscheidungen in dieser Hinsicht auf.
735078,Als Fließbandarbeiter und Gewerkschafter appelliere ich aber auch an die Redlichkeit unserer Unternehmen.
210236,Bürgerinnen und Bürger in den Kohlerevieren!
1152343,"Der Deutsche Bundestag, meine Damen und Herren, repräsentiert das Staatsvolk, und ungeachtet der darin vorhandenen politischen Mehrheiten haben wir als Mitglieder dieses Bundestages den demokratischen Auftrag erhalten, uns um den Schutz der Minderheiten zu kümmern."
399590,"Die Abwanderung der Industrie geschieht nicht mit einem lauten Knall, sondern schleichend."
1200970,"Das ist am Ende – davon sind wir überzeugt – ein verantwortungsvoller Umgang mit Steuermitteln, weil damit die dynamische Wirtschaft in Deutschland vorangebracht wird."
1241551,"Was die Demonstrationen vom Dienstag auch gezeigt haben, ist, dass es unseren Bäuerinnen und Bauern nicht um einseitige Forderungen geht, sondern dass sie in den Dialog treten wollen, dass sie für Gespräche offen sind und dass sie die Öffentlichkeit einladen, mit ihnen über ihr Handwerk zu diskutieren."
1228852,"Und die Leute, die dort sitzen, sind die Leute, die Boris Johnson in die Downing Street gebracht haben."
900750,"Ich bedanke mich ganz herzlich bei unserer Tourismusbeauftragten, Iris Gleicke, und ihrem tollen Team für diesen großartigen Bericht ."
1122662,Solche Leute wie Sie!
1197093,"Dies, meine Damen und Herren, kann der Staat seinen Bürgern abverlangen."
769417,"Aber die Menschen können weiter dort wirtschaften, und unten kommt weniger Wasser an."
440177,"Wenn Sie aber mit Tierwohlprogrammen die Akzeptanz der Massentierhaltung verbessern wollen, helfen Sie damit eben gerade nicht den bäuerlichen Betrieben bei der Bewältigung der Herausforderungen des Tierschutzes - diese brauchen nämlich statt Imagewerbung konkrete Umbauhilfen -, sondern deren Konkurrenz in großem Stil."
842563,"Kolleginnen und Kollegen, durch den Umbau der Tierhaltung werden Bäuerinnen und Bauern und Gesellschaft endlich wieder zusammengeführt."
284304,"Dieser Gesetzentwurf ist handwerklich schlecht gemacht und präsentiert das gesamte Sammelsurium an Maßnahmen, die kaum etwas bringen, den Bürger aber erheblich beeinträchtigen."
191305,"Wir erwarten vom Bürger, dass er mit dem Fahrrad oder dem ÖPNV in die Stadt kommt."
639764,"Dass wir es heute mit einem jeden persönlich besonders fordernden Thema zu tun haben, zeigt schon die ungewöhnliche Beratungskonstellation, beginnend mit einer Orientierungsdebatte, mit der wir uns erst einmal Klarheit über das Feld verschafft haben, das wir bearbeiten oder nicht bearbeiten wollen, über eine ein Jahr dauernde interne Diskussion mit Sachverständigen bis hin zu einem Meinungsbild, das wir uns verschafft haben."
1169993,"Wer die Leistungsfähigkeit und die Leistungskraft der Bürger überfordert, gefährdet unsere soziale Marktwirtschaft in ihren Grundfesten."
736070,Auch bei teuren Milchmarken kommt bei den Bäuerinnen und Bauern kaum mehr an als bei den Billigprodukten.
257372,Wir sollten bei dieser Gelegenheit diesen Weg gehen und nicht nur so eine zögerliche Anhebung von 360 auf 720 Euro vorsehen.
827664,"Das verdanken wir einer weitsichtigen Politik des Landes, aber auch der Kommunen, einer Politik, die mit dem Motto „Wir glauben an die Zukunft, wir haben Perspektiven und wir haben Potenziale“ Unmögliches möglich gemacht hat, einer Politik, die frühzeitig wichtige Infrastrukturprojekte dezentral in die Fläche gebracht hat."
77562,"Am Boden liegen aber nicht nur bestimmte Zweige der Industrie, der mittelständischen Wirtschaft, Gastronomie, Fitnesscenter usw., auch die Demokratie in unserem Land hat schweren Schaden genommen."
743690,Allein die Vorlage dieses Gesetzentwurfs macht diesen Tag zu einem guten Tag für die Handwerker.
1265598,"Die Landwirte in Mecklenburg-Vorpommern befürchten, dass das Agrarpaket den aus ihrer Sicht negativen Strukturwandel weiter anheizen wird."
884007,"Man unternimmt an dieser Hochschule alles, um die klügsten Köpfe zu fördern und in der Forschung und im Land zu halten."
128257,"Ich darf mich ganz herzlich bei meiner Fraktion bedanken, insbesondere bei meinen Kollegen Ralph Brinkhaus, Georg Nüßlein und Andreas Lenz, sowie allen Kollegen aus dem Parlamentarischen Beirat für nachhaltige Entwicklung, bei Marie-Luise Dött und Anja Weisgerber aus dem Umweltausschuss und natürlich auch bei der SPD."
1241703,"Die Menschen erfahren, dass Ferkel ohne Betäubung kastriert werden, dass wenige Tage alte Kälber bis nach Spanien verfrachtet werden, dass Millionen von Tieren dahinvegetieren, dass ein Tierleben oft gar keinen Wert mehr hat."
205800,"Ich darf an dieser Stelle zuerst meinen herzlichen Dank an das Bundesministerium der Justiz und für Verbraucherschutz und insbesondere an die Mitarbeiterinnen und Mitarbeiter, liebe Frau Ministerin, weitergeben, die nicht nur wie die Berichterstatter – das sind der Kollege Heribert Hirte und ich – und die betroffenen Fachpolitiker bis in die Nachtstunden, sondern weit über die Nachstunden hinaus arbeiten mussten, um rechtzeitig zum Inkrafttreten am 31. Dezember diese umfangreichen Gesetzesvorhaben auf den Weg zu bringen."
277429,Die Eigentümer sind ja an das Gemeinwohl gebunden.
1178980,"Sie werden von Handwerksgesellen, aber teilweise sicherlich auch von der öffentlichen Hand und den Betrieben getragen."
816896,"Ich sage hier für die SPD-Fraktion und, wie ich hoffe, auch für das ganze Parlament: Lieber Martin Burkert, du hast als Ausschussvorsitzender in großer Souveränität durch die Sitzungen geführt."
1179574,An dieser Stelle vielen Dank an die fleißigen Mitarbeiter im Ausschuss.
313354,"Und mein Dank geht auch an all die guten Geister, besonders an meine eigenen Mitarbeiter, die hinter den Kulissen immer dafür sorgen, dass der Parlamentsbetrieb reibungslos läuft."
567054,"Deshalb ist es an der Zeit, das Thema nicht nur auf die Tagesordnung zu heben, sondern mit den Möglichkeiten, die die deutsche Politik in diesem Bereich hat, endlich zu handeln und dafür zu sorgen, dass wir diese Probleme wenigstens ansatzweise in den Griff bekommen."
1051359,"– Wir können uns die Rede noch einmal anhören. – Deshalb mache ich dem Bundesverkehrsminister an der Stelle ein Kompliment dafür, dass er es geschafft hat, in dieser schwierigen Situation, in der wir kaum Rechtsansprüche an die Unternehmen haben, ein Programm auf die Beine zu stellen, das den Menschen hilft."
642815,"Deshalb werbe ich als Abgeordneter unermüdlich dafür, dass sich der Geist, mit dem wir als Bürger der Bundeswehr gegenübertreten, ein gut Stück ändert."
806048,"Schon sind wir bei der kleinbäuerlichen Landwirtschaft, lieber Kollege Movassat und lieber Kollege Kekeritz."
846787,"Erzählen Sie ihm doch etwas von Ihren CSU-Bürgermeistern vor Ort, die eine ganz großartige Politik machen."
984332,"Wir als Entwicklungspolitiker werden unsere Regierung dazu treiben, zu handeln."
881976,"Wir als Koalition haben 50 Millionen Euro für das KfW-Programm zur Verfügung gestellt, wir haben die Schwellen gesenkt, und wir haben die Bürgerinnen und Bürger dabei unterstützt, dass sie sich besser selber sichern können, und zwar Mieterinnen und Mieter genauso wie Eigentümerinnen und Eigentümer."
759625,Die Akzeptanz der Jagd in der Gesellschaft liegt letztendlich in den Händen der Jägerinnen und Jäger.
29107,"In unseren Augen gehört er nicht dem Staat, nicht der Gesellschaft."
939596,Wir bedauern das Aussterben der Deutschen durch die kinder- und familienfeindliche Politik der jetzigen Bundesregierung.
407768,Sie die Leute damit nicht heraus.
1075744,Die Leistungen der Kommunen sind ohne Zweifel ein starker Faktor unserer Demokratie.
350362,Wir tun als öffentliche Hand bereits eine Menge.
913485,Die Menschen kommen bisher nicht in Europa an.
1241694,Was haben die Bäuerinnen und Bauern eigentlich falsch gemacht?
77915,"Wir setzen uns für die Gesundheit ein, aber wir setzen uns mit einer besonnenen Politik auch für Frieden und Freiheit ein."
1066740,"Alle positiven Entscheidungen der Außenstelle Bremen seit 2006 sind mit einem immensen Aufwand geprüft worden: 63 Vollzeitentscheider, 13 000 Akten zu 18 000 Antragstellern, die gesichtet worden sind."
872480,Die Verbraucherinnen und VerRalph Lenkert braucher schauen weiter auf den Ladebalken.
672146,Die jetzt vorgesehene Erhöhung ist in vollem Umfang maßvoll und auch verantwortungsvoll.
885155,"Ich möchte mich an dieser Stelle ausdrücklich bei den Berichterstattern, den Verkehrspolitikern Bettina Hagedorn von der SPD und Norbert Brackmann von der CDU/CSU, bedanken, die hier nicht alles, aber doch vieles zum Guten wenden konnten."
1265425,"Drei große Herausforderungen will ich nennen: die Zukunft unserer bäuerlich geprägten Landwirtschaft, unsere Wälder und die Förderung lebendiger ländlicher Räume."
482354,Ohne die Zuarbeiten von diesen Stellen könnten wir unserer Kontrollaufgabe und der Haushaltsgesetzgebung letztlich nicht nachkommen.
1251804,"Der 9. November, meine Damen und Herren, ist für uns ein bewegender Tag."
902412,"Er hat der deutschen Bevölkerung erklärt, es sei alles gut, es sei alles vom Tisch."
282718,"Dass ich 1994 – und mit mir viele andere – unsere ostdeutsche Heimat im Bundestag vertreten durfte, hatte viel mit dem Staatsmann Helmut Kohl zu tun, mit seiner Überzeugung, seinem Stehvermögen, seiner Autorität und auch seiner internationalen Akzeptanz."
1232553,Die Haltung der Parteien muss sich lückenlos und verständlich der Bewertung im Lichte der Öffentlichkeit stellen und hinterfragt werden können.
176736,Diese sozialdemokratisch geprägten Entscheidungen bestimmen bis heute maßgeblich auch die Struktur unserer ganzen Forschungslandschaft.
641567,"Die Menschen in Deutschland erleben ja im Augenblick jeden Tag, was dies bedeutet."
280545,"Die Bürgerinnen und Bürger in diesem Land haben einen Anspruch darauf, zu wissen: Wo stehen die Parteien, und wo wollen sie hin?"
146072,"Ich möchte mich bei Helmut Kohl bedanken und bei den Politikerinnen und Politikern aus Ost und West, die diesen ganz schmalen Spalt, den uns die Geschichte offen gelassen hat, beherzt genutzt haben."
221265,"Die Bevölkerung hat einen Anspruch auf eine ehrliche, verständliche und auf eine respektvolle Ansprache."
718804,Die kleinen und mittelständischen Betriebe haben hier eine ganz starke regionale Verwurzelung.
161759,"Die beste Chance, der Ermahnung des Präsidenten zu entgehen, ist, wenn man die Maske wie die Schüler in der Schule einfach die ganze Zeit auf der Nase hat – solidarisch mit den Schülern in Deutschland."
494741,So kommunalfreundlich wie diese war keine Regierung zuvor aufgestellt.
640733,"Herr Kollege Post, ich bin nicht ganz so euphorisch und zufrieden wie Sie mit dem Entwurf des Ministeriums."
509618,"Der Verbraucher, wir alle."
1205249,Diesen Leuten haben wir in der Vergangenheit Hilfe zuteilwerden lassen.
674480,Aber die Politik mischt sich nicht ein.
366101,Die Menschen in unserem Land sollen von der derzeit positiven wirtschaftlichen Entwicklung profitieren.
1159954,"Der Vertrag zur deutschen Einheit war kaum unterzeichnet, da begann die breitangelegte Deindustrialisierung Ostdeutschlands."
251074,"Ich sage Ihnen hierzu: Wir sind als Bündnis 90/Die Grünen bereit, gemeinsame, vorausschauende, pragmatische Pandemiebekämpfung aus der Mitte dieses Hauses zu machen, von mir aus noch in dieser Woche."
1218718,Denn diese Regierung ist der Erfüllungsgehilfe der grünen Klimasekte und sonst leider nichts.
457638,"Ich appelliere an dieser Stelle an Sie, Herr Kollege Heil."
509965,"Ich verweise leidenschaftslos auf das, was unsere Politik draußen im Lande bewirkt hat."
158375,"Es ist toll, dass diese Maßnahme so gut angenommen wird und dadurch die Bundeswehr wieder in das Blickfeld der Bevölkerung rückt."
69543,Die Menschen erwarten weiter Antworten: Wann gibt es in jedem Altenheim ausreichend Masken?
842650,"Wir haben aufgrund dieser Daten sowie dank einer hervorragenden deutschen Landmaschinentechnologie und einer sich prächtig entwickelnden deutschen IT in diesem Bereich die Möglichkeit, präziser auf den Äckern zu werden, besser auf den Äckern zu werden, tiergerechter zu werden und den Landwirt bei der Arbeit - hin zum Tier, weg von den organisatorischen Fragen - zu entlasten."
71756,"Wir setzen um, und das, meine ich, in einer klugen und verantwortungsvollen Weise, auch im Sinne des Haushalts."
126925,"Ich appelliere an alle – auch an die Regierung –, dass wir dieses Momentum für Europa nicht verstreichen lassen, sondern dass wir es kraftvoll im friedlichen, konstruktiven Sinne ergreifen und Europa zum Entstehen bringen in der Gestaltung unseres Kontinents."
